Process,Scene,Character,Character_Name,Text,UI,Choice,Next
0_60,S003,C022,AAA娱乐公司公关部小组组长,新换上来的？,U004,直接问询:0_61::,
0_61,S003,C001,,嗯。前辈好。,U002,,0_62
0_62,S003,C022,AAA娱乐公司公关部小组组长,好好干，别太有压力。,U003,,0_63
0_63,S003,C022,AAA娱乐公司公关部小组组长,我们就是拿钱打工的，别想东想西知道吗？,U003,,0_64
0_64,S003,C022,AAA娱乐公司公关部小组组长,公司安保也很好。踏实工作吧。,U003,,
0_65,S003,C002,,！！李爱薇！！原来那就是李弦的母亲！,U002,:0_66::CA016,
0_66,S003,C001,,所以说撞死我的那个货车司机是李弦的继父？,U002,,0_67
0_67,S003,C001,,可他们的经济状况看上去不像是有个影后女儿的样子——<br>也对，不然李弦也不会被指控谋杀亲父。,U002,,0_68
0_68,S003,C001,,我记得这件事当时真可谓全网轰动。,U002,,0_69
0_69,S003,C001,,李爱薇有证人孙XX证实王大有死亡当天李弦在他的杂货店购买了农药，立马惊动了警方。,U002,,0_70
0_70,S003,C001,,我们新闻社为了抢占最新报道，还找到了这位孙哥做采访，我被组长带在身边做记录员……,U002,,
0_71,S003,C012,,我只是个普通实习生啊，我怎么也会收到这种快递……,U004,直接问询:0_71a::;卡牌问询:0_72:CA009:CA018,
0_71a,S003,C012,,我只是个普通实习生啊，我怎么也会收到这种快递……,U004,,
0_72,S003,C001,,我看到你桌上有这个。,U002,,0_73
0_73,S003,C012,,还在追我！！啊啊啊啊！！！我已经离职了！！,U003,,0_74
0_74,S003,C001,,那看来是很深仇很大怨啊。,U002,,0_75
0_75,S003,C012,,那公关就是这样啊，祸水东引不是常用的手段吗！而且我又没决定权！,U003,,0_76
0_76,S003,C001,,祸水东引……李弦被其母指认谋杀背后有你们推动？,U002,,0_77
0_77,S003,C012,,我已经离职了！我已经离职了！,U003,,
0_78,S003,C011,,章立你们违f犯z！你家艺人睡f！,U004,直接问询:0_78a::;卡牌问询:0_79::CA019,
0_78a,S003,C011,,章立你们违f犯z！你家艺人睡f！,U004,,
0_79,S003,C001,,李弦不是早就自己建工作室了吗？,U002,,0_80
0_80,S003,C011,,你智障吗？我说那个苏新辞！演个耽改火了到处私联，最后不负责！,U003,,0_81
0_81,S003,C001,,这话不能胡说吧，还是得有证据。,U002,,0_82
0_82,S003,C011,,（愤怒）我是受害者。（逼近）我就是受害者，算证据吗？,U003,,0_83
0_83,S003,C011,,我差点就死了知道吗？我跳到鹤江里面，那么冷的水……,U003,,0_84
0_84,S003,C011,,（嗤笑）结果被人救了——天要我坚持下去，搞废这个人渣！,U003,,0_85
