Process,Scene,Character,Character_Name,Text,UI,Choice,Next
0_1,S002,C018,组长,今天这么早啊！,U003,直接问询:0_2::CA008,0_2
0_2,S002,C001,,哈哈，组长早上好！,U002,,0_3
0_3,S002,C018,组长,要不要喝咖啡？姐请你。,U003,,0_4
0_4,S002,C001,,谢谢组长！,U002,,
0_5,S002,C017,守夜的女人,怎么偏偏撞死了人？怎么偏偏撞死了人？,U004,直接问询:0_5a::;卡牌问询:0_6:CA002:CA006,
0_5a,S002,C017,守夜的女人,怎么偏偏撞死了人？怎么偏偏撞死了人？,U004,,
0_6,S002,C017,守夜的女人,我说了我们没有钱！！我们也是受害者！！！,U003,,0_7
0_7,S002,C017,守夜的女人,你看不到吗，我弟弟也在这躺着！,U003,,0_8
0_8,S002,C003,,哦。那我还在土里躺着呢。,U002,,0_9
0_9,S002,C017,守夜的女人,啊！！！大人！大人行行好，要索去索那女人的命。,U003,,0_10
0_10,S002,C017,守夜的女人,别索我弟弟的啊！！我们一家人清清白白……,U003,,0_11
0_11,S002,C003,,清清白白？敢情我被撞死，我活该？,U002,,0_12
0_12,S002,C017,守夜的女人,那女人！都是那个灾星！,U003,,0_13
0_13,S002,C001,,（你想起那个怪谈描述）哪个女人？梦里的？,U002,,0_14
0_14,S002,C017,守夜的女人,李爱薇！当初我们就不想让她嫁来！现在家里被她搞得乌烟瘴气。,U003,,0_15
0_15,S002,C017,守夜的女人,胡永之前天天说做噩梦，梦到什么女鬼……,U003,,0_16
0_16,S002,C017,守夜的女人,都是李爱薇收钱搞出来的破事，倒让有良心的人受罪！,U003,,
0_17,S002,C019,护士A,哇，我跟你说我真不敢值夜班了。,U004,直接问询:0_18::,0_18
0_18,S002,C019,护士B,咋啦咋啦？,U003,,0_19
0_19,S002,C019,护士A,你知道吗精神科那件事……最近突然来了几个人。,U003,,0_20
0_20,S002,C019,护士B,（无语）你逗我呢？,U003,,0_21
0_21,S002,C019,护士A,听我说完呀！<br>我听说啊——我听说那些病人都说自己最近老梦到一个黑衣女人。,U003,,0_22
0_22,S002,C019,护士B,巧合吧。没意思，我还以为是像李弦杀父那种惊天大瓜。,U003,,0_23
0_23,S002,C019,护士A,就是李弦！他们的描述出奇的一致，伤疤、纹身、黑衣……,U003,,0_24
0_24,S002,C019,护士A,李弦死的时候穿的就是黑礼裙——就那张秒撤的热搜图。,U003,,0_25
0_25,S002,C019,护士B,嘶——碰巧吧。,U003,,0_26
0_26,S002,C019,护士A,据说啊，来的好几个还都是李弦对家手下的员工。就那个爱豆苏新辞。,U003,,0_27
0_27,S002,C019,护士B,冤魂索命那套吗？你别说了。不许说了！,U003,,0_28
0_28,S002,,,（两个小护士手拉手，打闹着往厕所逛去）,U001,,
0_29,S002,C011,病床上的女孩,对，我不能就这么死掉。,U004,直接问询:0_30::,
0_30,S002,C011,病床上的女孩,凭什么那个人渣可以风风光光地活着……,U003,,
0_31,S002,,,光线昏暗的房间内，你看见一个诡异的雕刻摆件。,U004,直接问询:0_32::,
0_32,S002,,,你上前几步正想仔细查看，突然发现角落里有一位跪坐着的女人。,U001,,0_33
0_33,S002,,,她瘦小干瘪，眼神空洞，仿佛和拐角的阴影融为了一体。,U001,,0_34
0_34,S002,C002,,！！！,U002,,0_35
0_35,S002,C009,李爱薇,宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……,U002,,0_36
0_36,S002,C009,李爱薇,宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……<br>宽恕我罪，治愈我身，宽恕我罪，治愈我身……,U002,,0_37
0_37,S002,,,她无视了你。<br>你看着嘴里一直念念有词的女人，觉得似乎在哪里见过她。,U001,,0_38
0_38,S002,,,还有诡异的雕刻摆件和涂鸦符号——是那个持续多年的邪教吗？,U001,,
0_39,S002,C020,工作人员,凭什么禁映我们《饮鸩止渴》，凭什么！,U004,直接问询:0_39a::;卡牌问询:0_40:CA005:CA007,
0_39a,S002,C020,工作人员,凭什么禁映我们《饮鸩止渴》，凭什么！,U004,,
0_40,S002,C020,工作人员,这怎么拿出来了？小心被吴导骂死！,U003,,0_41
0_41,S002,C001,,啊？导演不是姓李吗？<br>（不可能记错，当时你还整理过导演对谈的资料）,U002,,0_42
0_42,S002,C020,工作人员,哪里的李导？吴越冠工作室，吴导！,U003,,0_43
0_43,S002,C002,,《饮鸩止渴》不是改编自这份手稿吗？购买人是李导啊！上过我们新闻的！,U002,,0_44
0_44,S002,C020,工作人员,冻傻了？这不一堆废纸吗？,U003,,0_45
0_45,S002,C020,工作人员,我们坚持原创，大火现炒懂吗？懂吗？,U003,,0_46
0_46,S002,C003,,你刚刚自己还说我随意把这个拿出来会被骂死。,U002,,0_47
0_47,S002,C020,工作人员,我说过吗？嘶，忙得头痛。,U003,,0_48
0_48,S002,C020,工作人员,不对，我没见过你。你谁啊随便进来？保安！保安！,U003,,0_49
0_49,S002,,,你带着那堆谈笑间身价一落千丈的“废纸”走出了工作室。,U001,,0_50
0_50,S002,,,满心疑惑的你开始翻看这一沓手稿。<br>与你记忆中《饮鸩止渴》的故事没有差别——一个古国长生种的爱情故事。,U001,,0_51
0_51,S002,,,所以这个工作人员为什么会说出那样前后矛盾的话来？,U001,,
0_52,S002,C001,,（干起老本行，混入记者队伍）,U004,直接问询:0_53::,
0_53,S002,C001,,章立先生作为李弦前经纪人会出席葬礼想必大家都十分意外。,U002,,0_54
0_54,S002,C021,章立,……,U003,,0_55
0_55,S002,C001,,请问当初李弦与贵司解约出走，实际是否是您早知道李弦人品不端？,U002,,0_56
0_56,S002,C021,章立,……,U003,,0_57
0_57,S002,C001,,关于李弦陨落，贵司或者说您本人有什么看法吗？,U002,,0_58
0_58,S002,C021,章立,毕竟相处多年，我们都十分悲痛。李弦创造的价值是毋庸置疑的。,U003,,0_59
0_59,S002,C021,章立,我只能说，每个人的结局都基于自己作出的选择。,U003,,
